,id,place_id,name,url,weekday,hour,expected,lat,lon,address,location_type,visit_duration,types,category,geom,vollcode,stadsdeelcode,hotspot
23,4719,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,9,0.539473684210526,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
24,4720,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,9,0.539473684210526,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
25,4721,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,11,0.473684210526316,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
26,4722,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,12,0.407894736842105,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
27,4723,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,12,0.407894736842105,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
28,4724,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,9,0.539473684210526,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
29,4725,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,15,0.75,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
30,4726,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,16,0.921052631578947,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
31,4727,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,17,0.947368421052632,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
32,4728,ChIJIxbYDbcJxkcRQtHfOo0b58o,Amsterdam Centraal,"https://www.google.com/search?q=Amsterdam Centraal, Stationsplein, 1012 AB Amsterdam, Netherlands",1,18,0.802631578947368,52.3791283,4.900272,"Stationsplein, 1012 AB Amsterdam, Netherlands",Point,N/A,"['transit_station', 'subway_station', 'bus_station', 'train_station', 'point_of_interest', 'establishment']",2,0101000020E61000009F0436E7E099134079BEB04687304A40,A01,A,Central Station
