,index,vollcode,inwoners,werkzame_personen,studenten,bezoekers,verblijvers,oppervlakte_land_m2,oppervlakte_land_water_m2,verblijvers_ha_2016
16,16,E17,4688.0,1237.60569863014,1066.48026566194,6264.7490802774,13256.8350445695,112541.0,156409.0,1177.9560377613
17,17,E18,6358.0,1428.36591780822,,14311.7972707937,22098.1631886019,83752.0,107567.0,2638.52363986554
18,18,E19,7078.0,1308.19035616438,,9965.05426066536,18351.2446168297,114338.0,151345.0,1604.99961664799
19,19,E20,7506.0,2716.81052054795,249.583561643836,3095.54201892336,13567.9361011151,130217.0,147392.0,1041.94814049741
20,20,E21,7788.0,1678.28646575342,,4099.37848741731,13565.6649531707,114415.0,126256.0,1185.65441184904
21,21,E22,1868.0,2233.98553424658,,4929.50942834813,9031.49496259471,72691.0,77410.0,1242.45022940869
22,22,E36,515.0,4478.75857534247,912.0,2858.76820779232,8764.52678313478,925362.0,935696.0,94.7145742221399
23,23,E37,19082.0,3095.26509589041,,16490.430121318,38667.6952172084,435193.0,495222.0,888.518317555852
24,24,E38,5891.0,765.68504109589,,2751.786057324,9408.47109841989,193750.0,219517.0,485.598508305543
25,25,E39,9577.0,957.097753424658,1508.01289729444,2018.27625941985,14060.386910139,280652.0,302435.0,500.990084166119
26,26,E40,6840.0,1088.68624657534,,2183.21931347662,10111.905560052,105993.0,123147.0,954.016355801983
27,27,E41,6992.0,1439.42553424658,,3584.75640554732,12016.1819397939,95942.0,100407.0,1252.4423026197
28,28,E42,10481.0,1502.85271232877,20.0466215349988,16491.6569189349,28495.5562527986,173133.0,193277.0,1645.87665279286
29,29,E43,6938.0,1377.7877260274,,1519.75082739726,9835.53855342466,141665.0,173676.0,694.28147767089
30,30,E75,6246.0,1135.18991780822,,1446.03758147193,8827.22749928015,87376.0,109035.0,1010.25767937193
31,31,F11,106.0,15593.096109589,2024.61950033248,26217.6470951946,43941.3627051161,3905101.0,3967071.0,112.522986486434
32,32,F76,9474.0,1079.64109589041,,17039.381653425,27593.0227493155,445519.0,470918.0,619.345589061644
33,33,F77,17290.0,2200.09435616438,604.282191780822,6707.37370889997,26801.7502568452,1335095.0,1592543.0,200.747888778291
34,34,F78,15478.0,1420.31090410959,,3935.72292966609,20834.0338337757,567032.0,572766.0,367.422541122471
35,35,F79,2392.0,200.573260273973,35.581194960861,736.232668493151,3364.38712372798,737444.0,737444.0,45.6222726570151
36,36,F80,850.0,1050.2418630137,977.310202819351,1915.95185753425,4793.5039233673,5695263.0,5695263.0,8.41665068560889
37,37,F81,15930.0,2988.77764383562,988.495890410959,32322.3412129593,52229.6147472059,678581.0,802701.0,769.688729086224
38,38,F82,15883.0,1677.28350684932,208.158904109589,3733.61936261824,21502.0617735771,449585.0,487935.0,478.264661267105
